Available Forms:
637: MAGMORTAR_NORMAL
640: ELECTABUZZ_NORMAL
643: ELECTIVIRE_NORMAL
646: MAREEP_NORMAL
649: FLAAFFY_NORMAL
652: AMPHAROS_NORMAL
655: MAGNEMITE_NORMAL
658: MAGNETON_NORMAL
661: MAGNEZONE_NORMAL
664: BELLSPROUT_NORMAL
667: WEEPINBELL_NORMAL
670: VICTREEBEL_NORMAL
677: PORYGON_NORMAL
680: PORYGON2_NORMAL
683: PORYGON_Z_NORMAL
688: TURTWIG_NORMAL
691: GROTLE_NORMAL
694: TORTERRA_NORMAL
697: EKANS_NORMAL
700: ARBOK_NORMAL
703: KOFFING_NORMAL
706: WEEZING_NORMAL
713: HITMONLEE_NORMAL
716: ARTICUNO_NORMAL
719: MISDREAVUS_NORMAL
722: MISMAGIUS_NORMAL
729: EXEGGCUTE_NORMAL
734: CARVANHA_NORMAL
737: SHARPEDO_NORMAL
740: OMANYTE_NORMAL
743: OMASTAR_NORMAL
746: TRAPINCH_NORMAL
749: VIBRAVA_NORMAL
752: FLYGON_NORMAL
755: BAGON_NORMAL
758: SHELGON_NORMAL
761: SALAMENCE_NORMAL
764: BELDUM_NORMAL
767: METANG_NORMAL
770: METAGROSS_NORMAL
773: ZAPDOS_NORMAL
776: NIDORAN_NORMAL
779: NIDORINA_NORMAL
782: NIDOQUEEN_NORMAL
785: NIDORINO_NORMAL
788: NIDOKING_NORMAL
791: STUNKY_NORMAL
794: SKUNTANK_NORMAL
797: SNEASEL_NORMAL
800: WEAVILE_NORMAL
803: GLIGAR_NORMAL
806: GLISCOR_NORMAL
809: MACHOP_NORMAL
812: MACHOKE_NORMAL
815: MACHAMP_NORMAL
818: CHIMCHAR_NORMAL
821: MONFERNO_NORMAL
824: INFERNAPE_NORMAL
827: SHUCKLE_NORMAL
830: ABSOL_NORMAL
833: MAWILE_NORMAL
836: MOLTRES_NORMAL
839: KANGASKHAN_NORMAL
846: RHYHORN_NORMAL
849: RHYDON_NORMAL
852: RHYPERIOR_NORMAL
855: MURKROW_NORMAL
858: HONCHKROW_NORMAL
861: GIBLE_NORMAL
864: GABITE_NORMAL
867: GARCHOMP_NORMAL
870: KRABBY_NORMAL
873: KINGLER_NORMAL
876: SHELLDER_NORMAL
879: CLOYSTER_NORMAL
888: HIPPOPOTAS_NORMAL
891: HIPPOWDON_NORMAL
894: PIKACHU_FALL_2019
895: SQUIRTLE_FALL_2019
896: CHARMANDER_FALL_2019
897: BULBASAUR_FALL_2019
898: PINSIR_NORMAL
901: PIKACHU_VS_2019
902: ONIX_NORMAL
905: STEELIX_NORMAL
908: SHUPPET_NORMAL
911: BANETTE_NORMAL
914: DUSKULL_NORMAL
917: DUSCLOPS_NORMAL
920: DUSKNOIR_NORMAL
923: SABLEYE_NORMAL
926: SNORUNT_NORMAL
929: GLALIE_NORMAL
932: SNOVER_NORMAL
935: ABOMASNOW_NORMAL
938: DELIBIRD_NORMAL
941: STANTLER_NORMAL
944: WEEZING_GALARIAN
945: ZIGZAGOON_NORMAL
946: ZIGZAGOON_GALARIAN
947: LINOONE_NORMAL
948: LINOONE_GALARIAN
949: PIKACHU_COPY_2019
950: VENUSAUR_COPY_2019
951: CHARIZARD_COPY_2019
952: BLASTOISE_COPY_2019
953: CATERPIE_NORMAL
956: METAPOD_NORMAL
959: BUTTERFREE_NORMAL
962: PIDGEY_NORMAL
965: PIDGEOTTO_NORMAL
968: PIDGEOT_NORMAL
971: SPEAROW_NORMAL
974: FEAROW_NORMAL
981: CLEFAIRY_NORMAL
984: CLEFABLE_NORMAL
987: JIGGLYPUFF_NORMAL
990: WIGGLYTUFF_NORMAL
993: PARAS_NORMAL
996: PARASECT_NORMAL
999: MANKEY_NORMAL
1002: PRIMEAPE_NORMAL
1005: TENTACOOL_NORMAL
1008: TENTACRUEL_NORMAL
1011: PONYTA_NORMAL
1014: RAPIDASH_NORMAL
1017: SLOWPOKE_NORMAL
1020: SLOWBRO_NORMAL
1023: FARFETCHD_NORMAL
1026: DODUO_NORMAL
1029: DODRIO_NORMAL
1032: SEEL_NORMAL
1035: DEWGONG_NORMAL
1038: GASTLY_NORMAL
1041: HAUNTER_NORMAL
1044: GENGAR_NORMAL
1047: VOLTORB_NORMAL
1050: ELECTRODE_NORMAL
1053: LICKITUNG_NORMAL
1056: CHANSEY_NORMAL
1059: TANGELA_NORMAL
1062: HORSEA_NORMAL
1065: SEADRA_NORMAL
1068: GOLDEEN_NORMAL
1071: SEAKING_NORMAL
1074: STARYU_NORMAL
1077: STARMIE_NORMAL
1080: MR_MIME_NORMAL
1083: JYNX_NORMAL
1086: TAUROS_NORMAL
1089: DITTO_NORMAL
1092: EEVEE_NORMAL
1095: VAPOREON_NORMAL
1098: JOLTEON_NORMAL
1101: FLAREON_NORMAL
1104: KABUTO_NORMAL
1107: KABUTOPS_NORMAL
1110: AERODACTYL_NORMAL
1115: MEW_NORMAL
1118: CHIKORITA_NORMAL
1121: BAYLEEF_NORMAL
1124: MEGANIUM_NORMAL
1127: CYNDAQUIL_NORMAL
1130: QUILAVA_NORMAL
1133: TYPHLOSION_NORMAL
1136: TOTODILE_NORMAL
1139: CROCONAW_NORMAL
1142: FERALIGATR_NORMAL
1145: SENTRET_NORMAL
1148: FURRET_NORMAL
1151: HOOTHOOT_NORMAL
1154: NOCTOWL_NORMAL
1157: LEDYBA_NORMAL
1160: LEDIAN_NORMAL
1163: SPINARAK_NORMAL
1166: ARIADOS_NORMAL
1169: CHINCHOU_NORMAL
1172: LANTURN_NORMAL
1175: PICHU_NORMAL
1178: CLEFFA_NORMAL
1181: IGGLYBUFF_NORMAL
1184: TOGEPI_NORMAL
1187: TOGETIC_NORMAL
1190: NATU_NORMAL
1193: XATU_NORMAL
1196: MARILL_NORMAL
1199: AZUMARILL_NORMAL
1202: SUDOWOODO_NORMAL
1205: HOPPIP_NORMAL
1208: SKIPLOOM_NORMAL
1211: JUMPLUFF_NORMAL
1214: AIPOM_NORMAL
1217: SUNKERN_NORMAL
1220: SUNFLORA_NORMAL
1223: YANMA_NORMAL
1226: WOOPER_NORMAL
1229: QUAGSIRE_NORMAL
1232: ESPEON_NORMAL
1235: UMBREON_NORMAL
1238: SLOWKING_NORMAL
1241: GIRAFARIG_NORMAL
1244: PINECO_NORMAL
1247: FORRETRESS_NORMAL
1250: DUNSPARCE_NORMAL
1253: SNUBBULL_NORMAL
1256: GRANBULL_NORMAL
1259: QWILFISH_NORMAL
1262: HERACROSS_NORMAL
1265: TEDDIURSA_NORMAL
1268: URSARING_NORMAL
1271: SLUGMA_NORMAL
1274: MAGCARGO_NORMAL
1277: SWINUB_NORMAL
1280: PILOSWINE_NORMAL
1283: CORSOLA_NORMAL
1286: REMORAID_NORMAL
1289: OCTILLERY_NORMAL
1292: MANTINE_NORMAL
1295: SKARMORY_NORMAL
1298: KINGDRA_NORMAL
1301: PHANPY_NORMAL
1304: DONPHAN_NORMAL
1307: SMEARGLE_NORMAL
1310: TYROGUE_NORMAL
1313: HITMONTOP_NORMAL
1316: SMOOCHUM_NORMAL
1319: ELEKID_NORMAL
1322: MAGBY_NORMAL
1325: MILTANK_NORMAL
1328: BLISSEY_NORMAL
1331: RAIKOU_NORMAL
1334: ENTEI_NORMAL
1337: SUICUNE_NORMAL
1340: LUGIA_NORMAL
1343: HO_OH_NORMAL
1346: CELEBI_NORMAL
1349: TREECKO_NORMAL
1352: GROVYLE_NORMAL
1355: SCEPTILE_NORMAL
1358: TORCHIC_NORMAL
1361: COMBUSKEN_NORMAL
1364: BLAZIKEN_NORMAL
1367: POOCHYENA_NORMAL
1370: MIGHTYENA_NORMAL
1379: SILCOON_NORMAL
1382: BEAUTIFLY_NORMAL
1385: CASCOON_NORMAL
1388: DUSTOX_NORMAL
1391: LOTAD_NORMAL
1394: LOMBRE_NORMAL
1397: LUDICOLO_NORMAL
1400: TAILLOW_NORMAL
1403: SWELLOW_NORMAL
1406: WINGULL_NORMAL
1409: PELIPPER_NORMAL
1412: SURSKIT_NORMAL
1415: MASQUERAIN_NORMAL
1418: SHROOMISH_NORMAL
1421: BRELOOM_NORMAL
1424: SLAKOTH_NORMAL
1427: VIGOROTH_NORMAL
1430: SLAKING_NORMAL
1433: NINCADA_NORMAL
1436: NINJASK_NORMAL
1439: SHEDINJA_NORMAL
1442: WHISMUR_NORMAL
1445: LOUDRED_NORMAL
1448: EXPLOUD_NORMAL
1451: MAKUHITA_NORMAL
1454: HARIYAMA_NORMAL
1457: AZURILL_NORMAL
1460: NOSEPASS_NORMAL
1463: SKITTY_NORMAL
1466: DELCATTY_NORMAL
1469: ARON_NORMAL
1472: LAIRON_NORMAL
1475: AGGRON_NORMAL
1478: MEDITITE_NORMAL
1481: MEDICHAM_NORMAL
1484: ELECTRIKE_NORMAL
1487: MANECTRIC_NORMAL
1490: PLUSLE_NORMAL
1493: MINUN_NORMAL
1496: VOLBEAT_NORMAL
1499: ILLUMISE_NORMAL
1502: ROSELIA_NORMAL
1505: GULPIN_NORMAL
1508: SWALOT_NORMAL
1511: WAILMER_NORMAL
1514: WAILORD_NORMAL
1517: NUMEL_NORMAL
1520: CAMERUPT_NORMAL
1523: TORKOAL_NORMAL
1526: SPOINK_NORMAL
1529: GRUMPIG_NORMAL
1532: SWABLU_NORMAL
1535: ALTARIA_NORMAL
1538: ZANGOOSE_NORMAL
1541: SEVIPER_NORMAL
1544: LUNATONE_NORMAL
1547: SOLROCK_NORMAL
1550: BARBOACH_NORMAL
1553: WHISCASH_NORMAL
1556: CORPHISH_NORMAL
1559: CRAWDAUNT_NORMAL
1562: BALTOY_NORMAL
1565: CLAYDOL_NORMAL
1568: LILEEP_NORMAL
1571: CRADILY_NORMAL
1574: ANORITH_NORMAL
1577: ARMALDO_NORMAL
1580: FEEBAS_NORMAL
1583: MILOTIC_NORMAL
1586: KECLEON_NORMAL
1589: TROPIUS_NORMAL
1592: CHIMECHO_NORMAL
1595: WYNAUT_NORMAL
1598: SPHEAL_NORMAL
1601: SEALEO_NORMAL
1604: WALREIN_NORMAL
1607: CLAMPERL_NORMAL
1610: HUNTAIL_NORMAL
1613: GOREBYSS_NORMAL
1616: RELICANTH_NORMAL
1619: LUVDISC_NORMAL
1622: REGIROCK_NORMAL
1625: REGICE_NORMAL
1628: REGISTEEL_NORMAL
1631: LATIAS_NORMAL
1634: LATIOS_NORMAL
1637: KYOGRE_NORMAL
1640: GROUDON_NORMAL
1643: RAYQUAZA_NORMAL
1646: JIRACHI_NORMAL
1649: PIPLUP_NORMAL
1652: PRINPLUP_NORMAL
1655: EMPOLEON_NORMAL
1658: STARLY_NORMAL
1661: STARAVIA_NORMAL
1664: STARAPTOR_NORMAL
1667: BIDOOF_NORMAL
1670: BIBAREL_NORMAL
1673: KRICKETOT_NORMAL
1676: KRICKETUNE_NORMAL
1679: SHINX_NORMAL
1682: LUXIO_NORMAL
1685: LUXRAY_NORMAL
1688: BUDEW_NORMAL
1691: ROSERADE_NORMAL
1694: CRANIDOS_NORMAL
1697: RAMPARDOS_NORMAL
1700: SHIELDON_NORMAL
1703: BASTIODON_NORMAL
1706: BURMY_NORMAL
1709: WORMADAM_NORMAL
1712: MOTHIM_NORMAL
1715: COMBEE_NORMAL
1718: VESPIQUEN_NORMAL
1721: PACHIRISU_NORMAL
1724: BUIZEL_NORMAL
1727: FLOATZEL_NORMAL
1730: CHERUBI_NORMAL
1733: CHERRIM_NORMAL
1736: SHELLOS_NORMAL
1739: GASTRODON_NORMAL
1742: AMBIPOM_NORMAL
1745: DRIFLOON_NORMAL
1748: DRIFBLIM_NORMAL
1751: BUNEARY_NORMAL
1754: LOPUNNY_NORMAL
1757: GLAMEOW_NORMAL
1760: PURUGLY_NORMAL
1763: CHINGLING_NORMAL
1766: BRONZOR_NORMAL
1769: BRONZONG_NORMAL
1772: BONSLY_NORMAL
1775: MIME_JR_NORMAL
1778: HAPPINY_NORMAL
1781: CHATOT_NORMAL
1784: SPIRITOMB_NORMAL
1787: MUNCHLAX_NORMAL
1790: RIOLU_NORMAL
1793: LUCARIO_NORMAL
1796: SKORUPI_NORMAL
1799: DRAPION_NORMAL
1802: CROAGUNK_NORMAL
1805: TOXICROAK_NORMAL
1808: CARNIVINE_NORMAL
1811: FINNEON_NORMAL
1814: LUMINEON_NORMAL
1817: MANTYKE_NORMAL
1820: LICKILICKY_NORMAL
1823: TANGROWTH_NORMAL
1826: TOGEKISS_NORMAL
1829: YANMEGA_NORMAL
1832: LEAFEON_NORMAL
1835: GLACEON_NORMAL
1838: MAMOSWINE_NORMAL
1841: PROBOPASS_NORMAL
1844: FROSLASS_NORMAL
1847: UXIE_NORMAL
1850: MESPRIT_NORMAL
1853: AZELF_NORMAL
1856: DIALGA_NORMAL
1859: PALKIA_NORMAL
1862: HEATRAN_NORMAL
1865: REGIGIGAS_NORMAL
1868: GIRATINA_NORMAL
1871: CRESSELIA_NORMAL
1874: PHIONE_NORMAL
1877: MANAPHY_NORMAL
1880: DARKRAI_NORMAL
1883: SHAYMIN_NORMAL
1886: VICTINI_NORMAL
1889: SNIVY_NORMAL
1892: SERVINE_NORMAL
1895: SERPERIOR_NORMAL
1898: TEPIG_NORMAL
1901: PIGNITE_NORMAL
1904: EMBOAR_NORMAL
1907: OSHAWOTT_NORMAL
1910: DEWOTT_NORMAL
1913: SAMUROTT_NORMAL
1916: PATRAT_NORMAL
1919: WATCHOG_NORMAL
1922: LILLIPUP_NORMAL
1925: HERDIER_NORMAL
1928: STOUTLAND_NORMAL
1931: PURRLOIN_NORMAL
1934: LIEPARD_NORMAL
1937: PANSAGE_NORMAL
1940: SIMISAGE_NORMAL
1943: PANSEAR_NORMAL
1946: SIMISEAR_NORMAL
1949: PANPOUR_NORMAL
1952: SIMIPOUR_NORMAL
1955: MUNNA_NORMAL
1958: MUSHARNA_NORMAL
1961: PIDOVE_NORMAL
1964: TRANQUILL_NORMAL
1967: UNFEZANT_NORMAL
1970: BLITZLE_NORMAL
1973: ZEBSTRIKA_NORMAL
1976: ROGGENROLA_NORMAL
1979: BOLDORE_NORMAL
1982: GIGALITH_NORMAL
1985: WOOBAT_NORMAL
1988: SWOOBAT_NORMAL
1991: DRILBUR_NORMAL
1994: EXCADRILL_NORMAL
1997: AUDINO_NORMAL
2000: TIMBURR_NORMAL
2003: GURDURR_NORMAL
2006: CONKELDURR_NORMAL
2009: TYMPOLE_NORMAL
2012: PALPITOAD_NORMAL
2015: SEISMITOAD_NORMAL
2018: THROH_NORMAL
2021: SAWK_NORMAL
2024: SEWADDLE_NORMAL
2027: SWADLOON_NORMAL
2030: LEAVANNY_NORMAL
2033: VENIPEDE_NORMAL
2036: WHIRLIPEDE_NORMAL
2039: SCOLIPEDE_NORMAL
2042: COTTONEE_NORMAL
2045: WHIMSICOTT_NORMAL
2048: PETILIL_NORMAL
2051: LILLIGANT_NORMAL
2054: SANDILE_NORMAL
2057: KROKOROK_NORMAL
2060: KROOKODILE_NORMAL
2063: DARUMAKA_NORMAL
2066: MARACTUS_NORMAL
2069: DWEBBLE_NORMAL
2072: CRUSTLE_NORMAL
2075: SCRAGGY_NORMAL
2078: SCRAFTY_NORMAL
2081: SIGILYPH_NORMAL
2084: YAMASK_NORMAL
2087: COFAGRIGUS_NORMAL
2090: TIRTOUGA_NORMAL
2093: CARRACOSTA_NORMAL
2096: ARCHEN_NORMAL
2099: ARCHEOPS_NORMAL
2102: TRUBBISH_NORMAL
2105: GARBODOR_NORMAL
2108: ZORUA_NORMAL
2111: ZOROARK_NORMAL
2114: MINCCINO_NORMAL
2117: CINCCINO_NORMAL
2120: GOTHITA_NORMAL
2123: GOTHORITA_NORMAL
2126: GOTHITELLE_NORMAL
2129: SOLOSIS_NORMAL
2132: DUOSION_NORMAL
2135: REUNICLUS_NORMAL
2138: DUCKLETT_NORMAL
2141: SWANNA_NORMAL
2144: VANILLITE_NORMAL
2147: VANILLISH_NORMAL
2150: VANILLUXE_NORMAL
2153: EMOLGA_NORMAL
2156: KARRABLAST_NORMAL
2159: ESCAVALIER_NORMAL
2162: FOONGUS_NORMAL
2165: AMOONGUSS_NORMAL
2168: FRILLISH_NORMAL
2171: JELLICENT_NORMAL
2174: ALOMOMOLA_NORMAL
2177: JOLTIK_NORMAL
2180: GALVANTULA_NORMAL
2183: FERROSEED_NORMAL
2186: FERROTHORN_NORMAL
2189: KLINK_NORMAL
2192: KLANG_NORMAL
2195: KLINKLANG_NORMAL
2198: TYNAMO_NORMAL
2201: EELEKTRIK_NORMAL
2204: EELEKTROSS_NORMAL
2207: ELGYEM_NORMAL
2210: BEHEEYEM_NORMAL
2213: LITWICK_NORMAL
2216: LAMPENT_NORMAL
2219: CHANDELURE_NORMAL
2222: AXEW_NORMAL
2225: FRAXURE_NORMAL
2228: HAXORUS_NORMAL
2231: CUBCHOO_NORMAL
2234: BEARTIC_NORMAL
2237: CRYOGONAL_NORMAL
2240: SHELMET_NORMAL
2243: ACCELGOR_NORMAL
2246: STUNFISK_NORMAL
2249: MIENFOO_NORMAL
2252: MIENSHAO_NORMAL
2255: DRUDDIGON_NORMAL
2258: GOLETT_NORMAL
2261: GOLURK_NORMAL
2264: PAWNIARD_NORMAL
2267: BISHARP_NORMAL
2270: BOUFFALANT_NORMAL
2273: RUFFLET_NORMAL
2276: BRAVIARY_NORMAL
2279: VULLABY_NORMAL
2282: MANDIBUZZ_NORMAL
2285: HEATMOR_NORMAL
2288: DURANT_NORMAL
2291: DEINO_NORMAL
2294: ZWEILOUS_NORMAL
2297: HYDREIGON_NORMAL
2300: LARVESTA_NORMAL
2303: VOLCARONA_NORMAL
2306: COBALION_NORMAL
2309: TERRAKION_NORMAL
2312: VIRIZION_NORMAL
2315: RESHIRAM_NORMAL
2318: ZEKROM_NORMAL
2321: MELTAN_NORMAL
2324: MELMETAL_NORMAL
2325: FALINKS_NORMAL
2326: RILLABOOM_NORMAL
2327: WURMPLE_SPRING_2020
2328: WOBBUFFET_SPRING_2020
2329: RATICATE_SPRING_2020
2330: FRILLISH_FEMALE
2331: JELLICENT_FEMALE
2332: PIKACHU_COSTUME_2020
2333: DRAGONITE_COSTUME_2020
2334: ONIX_COSTUME_2020
2335: MEOWTH_GALARIAN
2336: PONYTA_GALARIAN
2337: RAPIDASH_GALARIAN
2338: FARFETCHD_GALARIAN
2339: MR_MIME_GALARIAN
2340: CORSOLA_GALARIAN
2341: DARUMAKA_GALARIAN
2342: DARMANITAN_GALARIAN_STANDARD
2343: DARMANITAN_GALARIAN_ZEN
2344: YAMASK_GALARIAN
2345: STUNFISK_GALARIAN
2463: TOXTRICITY_LOW_KEY
2464: TOXTRICITY_AMPED
2477: SINISTEA_PHONY
2478: SINISTEA_ANTIQUE
2480: POLTEAGEIST_PHONY
2481: POLTEAGEIST_ANTIQUE
2501: OBSTAGOON_NORMAL
2504: PERRSERKER_NORMAL
2507: CURSOLA_NORMAL
2510: SIRFETCHD_NORMAL
2513: MR_RIME_NORMAL
2516: RUNERIGUS_NORMAL
2540: EISCUE_ICE
2541: EISCUE_NOICE
2542: INDEEDEE_MALE
2543: INDEEDEE_FEMALE
2544: MORPEKO_FULL_BELLY
2545: MORPEKO_HANGRY
2576: ZACIAN_CROWNED_SWORD
2577: ZACIAN_HERO
2578: ZAMAZENTA_CROWNED_SHIELD
2579: ZAMAZENTA_HERO
2580: ETERNATUS_ETERNAMAX
2581: ETERNATUS_NORMAL
2582: SLOWPOKE_GALARIAN
2583: SLOWBRO_GALARIAN
2584: SLOWKING_GALARIAN
2585: LAPRAS_COSTUME_2020
2586: GENGAR_COSTUME_2020
2587: PYROAR_NORMAL
2588: PYROAR_FEMALE
2589: MEOWSTIC_NORMAL
2590: MEOWSTIC_FEMALE
2591: ZYGARDE_TEN_PERCENT
2592: ZYGARDE_FIFTY_PERCENT
2593: ZYGARDE_COMPLETE
2594: VIVILLON_ARCHIPELAGO
2595: VIVILLON_CONTINENTAL
2596: VIVILLON_ELEGANT
2597: VIVILLON_FANCY
2598: VIVILLON_GARDEN
2599: VIVILLON_HIGH_PLAINS
2600: VIVILLON_ICY_SNOW
2601: VIVILLON_JUNGLE
2602: VIVILLON_MARINE
2603: VIVILLON_MEADOW
2604: VIVILLON_MODERN
2605: VIVILLON_MONSOON
2606: VIVILLON_OCEAN
2607: VIVILLON_POKEBALL
2608: VIVILLON_POLAR
2609: VIVILLON_RIVER
2610: VIVILLON_SANDSTORM
2611: VIVILLON_SAVANNA
2612: VIVILLON_SUN
2613: VIVILLON_TUNDRA
2614: FLABEBE_RED
2615: FLABEBE_YELLOW
2616: FLABEBE_ORANGE
2617: FLABEBE_BLUE
2618: FLABEBE_WHITE
2619: FLOETTE_RED
2620: FLOETTE_YELLOW
2621: FLOETTE_ORANGE
2622: FLOETTE_BLUE
2623: FLOETTE_WHITE
2624: FLORGES_RED
2625: FLORGES_YELLOW
2626: FLORGES_ORANGE
2627: FLORGES_BLUE
2628: FLORGES_WHITE
2629: FURFROU_NATURAL
2630: FURFROU_HEART
2631: FURFROU_STAR
2632: FURFROU_DIAMOND
2633: FURFROU_DEBUTANTE
2634: FURFROU_MATRON
2635: FURFROU_DANDY
2636: FURFROU_LA_REINE
2637: FURFROU_KABUKI
2638: FURFROU_PHARAOH
2639: AEGISLASH_SHIELD
2640: AEGISLASH_BLADE
2641: PUMPKABOO_SMALL
